City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Talant,FR,52.41,clear sky,47.3369,5.0089,Hôtel Restaurant Campanile Dijon Gare
132,San Julian,BO,56.43,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
133,Kanigoro,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
134,Comodoro Rivadavia,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
136,Victoria,HK,72.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
137,Fare,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
139,Davila,PH,77.11,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
140,Ayotzintepec,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
143,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
144,Colares,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
145,Lima,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
146,Muros,ES,57.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
148,Milingimbi,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
150,Sao Felix Do Xingu,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
151,Sohag,EG,88.09,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
153,Luganville,VU,81.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
154,Nelson Bay,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
157,Sechura,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
158,Gat,LY,66.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
159,Byron Bay,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
160,Hualmay,PE,66.38,broken clouds,-12.0432,-77.0282,Hotel Kamana
162,Kaduna,NG,75.18,moderate rain,10.5222,7.4383,HAMDALA HOTEL
164,Muli,MV,82.53,scattered clouds,-0.6,73.0833,Scoop Guest House
167,General Roca,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
169,Hamilton,US,52.88,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
170,Tamandare,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
171,Mzimba,MW,62.29,overcast clouds,-11.9,33.6,Zagegs Hotel
